Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
APOLLOHOSP.NS,Healthcare,1067085922304.0,90.0874,0.0019636147852298,0.0120724114134791
APOLLOPIPE.NS,Industrials,22474311680.0,68.936745,-0.0014582655039112,0.0203679475673096
APOLLOTYRE.NS,Consumer Cyclical,311866327040.0,19.15919,0.0004460705772104,0.0181726665880512
APOLSINHOT.NS,Industrials,4738448896.0,54.345364,0.0008073035429469,0.0306629203194518
APTECHT.NS,Consumer Defensive,10289149952.0,39.555805,-0.0017564419805318,0.0237862017102271
ARCHIDPLY.NS,Basic Materials,2366318848.0,102.68966,0.000251259928268,0.0337943816446517
ARENTERP.NS,Basic Materials,149198400.0,14.117646,0.0010569761821801,0.038318356853209
ARIES.NS,Basic Materials,3491002624.0,15.8703375,0.0012472455643167,0.0349173881575899
ARIHANTSUP.NS,Real Estate,14895803392.0,24.993093,0.0010055512642075,0.031894453956977
ARMANFIN.NS,Financial Services,14986267648.0,8.025473,-0.0025502644860801,0.0246191133485119
AROGRANITE.NS,Industrials,795905984.0,102.0,0.000100957494303,0.0244630485208288
ARROWGREEN.NS,Consumer Cyclical,15585793024.0,28.903057,0.0064438000872703,0.0445223553046696
ARVIND.NS,Consumer Cyclical,97887019008.0,33.785004,0.000689166930854,0.0282548815615656
ARVINDFASN.NS,Consumer Cyclical,78556045312.0,108.7061,0.0022813363486406,0.0215320083835844
ARVSMART.NS,Real Estate,42076393472.0,61.72715,0.0026529908286035,0.0343774032348664
ASAHIINDIA.NS,Consumer Cyclical,169494364160.0,54.368176,0.0011469707140464,0.0251972623535005
ASAHISONG.NS,Basic Materials,4928846848.0,48.548203,0.0016672361395918,0.0372965158802715
ASAL.NS,Consumer Cyclical,10995615744.0,53.19263,-0.0014818970929335,0.0287813522662919
ASALCBR.NS,Consumer Defensive,16989024256.0,29.587532,0.0050259816060401,0.0348838647939291
ASHAPURMIN.NS,Basic Materials,23863373824.0,9.716453,-0.0010724291560983,0.0398135063655712
ASHIANA.NS,Real Estate,31037093888.0,46.498493,-0.0011432054394054,0.0262971017684511
ASHIMASYN.NS,Consumer Cyclical,6966840832.0,7.030947,0.0049496388263094,0.0440062141807276
ASHOKA.NS,Industrials,66186063872.0,11.100283,0.0031111590569715,0.033124011428832
ASHOKLEY.NS,Industrials,651886198784.0,24.819912,0.0011275572634034,0.0220946665101088
ASIANPAINT.NS,Basic Materials,2655077269504.0,52.35255,-4.907107052516122e-05,0.0128688121520639
ASPINWALL.NS,Consumer Defensive,2142211456.0,16.697136,0.0004617524252562,0.0253414288449421
ASTERDM.NS,Healthcare,218232799232.0,106.35923,0.0020292146586463,0.0207050369155133
ASTRAL.NS,Industrials,480534331392.0,91.73334,-0.0010408077011712,0.0184510856109118
ASTRAMICRO.NS,Technology,73178824704.0,53.77181,0.0017042782123303,0.0306467944649638
ASTRAZEN.NS,Healthcare,182941073408.0,192.28421,0.0030215162193636,0.0319643961178021
ATFL.NS,Consumer Defensive,25118595072.0,588.60004,0.0031947601697991,0.0282703243965646
ATGL.NS,Utilities,784330260480.0,111.170044,-0.001432484116725,0.026475058568988
ATUL.NS,Basic Materials,232163311616.0,61.351437,0.0021905207957227,0.017849202563321
ATULAUTO.NS,Consumer Cyclical,16585537536.0,76.31545,0.0008223702730922,0.0317224135653754
AUBANK.NS,Financial Services,431865430016.0,22.779522,-0.0003947381130556,0.0185543451208925
AURIONPRO.NS,Technology,90257588224.0,49.756393,0.0027813570689914,0.033366205154835
AUROPHARMA.NS,Healthcare,771043688448.0,22.074327,0.0013574268724026,0.0162888672381055
AUSOMENT.NS,Financial Services,1422984960.0,11.802259,0.0015001887630982,0.0435292789057119
AUTOAXLES.NS,Consumer Cyclical,27054239744.0,17.637205,-0.0002789132264601,0.0163749650822179
AUTOIND.NS,Consumer Cyclical,4549732864.0,23.542337,0.0001889440271044,0.032190131021119
AVADHSUGAR.NS,Consumer Defensive,12452445184.0,10.857916,0.0012087701681425,0.0289508606668333
AVANTIFEED.NS,Consumer Defensive,78933778432.0,20.789,0.0012109149087511,0.0318923697393498
AVTNPL.NS,Basic Materials,12525359104.0,24.62575,-0.0006588081359488,0.0209682820660941
AWHCL.NS,Industrials,22476179456.0,26.318499,0.0045061882845444,0.0357964553158462
AXISBANK.NS,Financial Services,3593778495488.0,12.91954,0.0003701113643836,0.0168765314910837
AXISCADES.NS,Industrials,22001512448.0,51.026524,-0.0007267277592637,0.0378451937031945
AYMSYNTEX.NS,Consumer Cyclical,12573753344.0,50.997944,0.0085483315656673,0.0329607399418202
BAFNAPH.NS,Healthcare,1946203776.0,685.5833,-0.0016106330282226,0.0243126221921091
BAGFILMS.NS,Communication Services,2123660032.0,32.51515,0.00297948478254,0.0369902787101322
BAJAJ-AUTO.NS,Consumer Cyclical,2767608348672.0,37.735218,0.0012344501899996,0.0192364889190106
BAJAJCON.NS,Consumer Defensive,31020574720.0,22.081951,-0.0008973703912465,0.0201182253847528
BAJAJELEC.NS,Consumer Cyclical,101270847488.0,94.3609,-0.0003795991467272,0.0177095316096242
BAJAJFINSV.NS,Financial Services,2775771250688.0,32.89374,0.0007626373240629,0.0150549150707396
BAJAJHLDNG.NS,Financial Services,1169288069120.0,15.747961,0.0020082640627516,0.017173623048057
BAJFINANCE.NS,Financial Services,4267207032832.0,27.778248,0.0002781828310926,0.0160502277209473
BALAJITELE.NS,Communication Services,6174993920.0,72.40476,-0.0012252221329055,0.0258046365671045
BALAMINES.NS,Basic Materials,67202916352.0,34.362164,-0.0005850671655452,0.0191442415676378
BALAXI.NS,Healthcare,4379969536.0,9.777272,-0.0020776829195129,0.0317548230438957
BALKRISIND.NS,Consumer Cyclical,546903457792.0,33.555332,0.001358959200474,0.0229006225382781
BALMLAWRIE.NS,Industrials,39134171136.0,14.602426,-0.0011144766685587,0.0296434770765124
BALPHARMA.NS,Healthcare,2002849280.0,24.613096,0.0022114540953711,0.0341970722111547
BALRAMCHIN.NS,Consumer Defensive,119717847040.0,22.52278,0.0037627002750874,0.0233676718155222
BANARBEADS.NS,Consumer Cyclical,952762176.0,30.225266,0.004123251291934,0.0348242456856107
BANARISUG.NS,Consumer Defensive,44217012224.0,30.210957,0.0028807417736813,0.0251207542967408
BANCOINDIA.NS,Consumer Cyclical,53392211968.0,19.6875,0.0021009717317513,0.0271697652033744
BANDHANBNK.NS,Financial Services,286350835712.0,12.83815,0.0003966164284329,0.0304967269784255
BANKA.NS,Industrials,1335650304.0,67.65934,0.0026116244717511,0.028557060265807
BANKBARODA.NS,Financial Services,1326970961920.0,6.6356354,0.0003486321409474,0.024673470633444
BANKINDIA.NS,Financial Services,508260089856.0,7.05689,-0.001473292108945,0.0221257710520354
BANSWRAS.NS,Consumer Cyclical,4778795520.0,17.627054,-0.0001546941498478,0.0237453242856892
BASF.NS,Basic Materials,354316746752.0,52.63251,0.0058731843971677,0.037322546255966
BATAINDIA.NS,Consumer Cyclical,171751964672.0,49.510933,0.0003076974183474,0.0141246280642825
BAYERCROP.NS,Basic Materials,296456060928.0,44.444145,0.0017880322338,0.0188771559113199
BBL.NS,Industrials,45400600576.0,70.42047,0.0023927843426635,0.0428412849694702
BBTC.NS,Consumer Defensive,189699391488.0,17.825846,0.0049577839311494,0.0372643129993355
BCG.NS,Communication Services,17217974272.0,1.9517242,-0.0031777500737184,0.0285998597565755
BDL.NS,Industrials,385000079360.0,140.7909,0.0013722196164757,0.0326517665172895
BEARDSELL.NS,Industrials,1708410880.0,20.628572,0.0013022782738427,0.0416151181331685
BECTORFOOD.NS,Consumer Defensive,111324012544.0,74.63314,0.0033595076169837,0.0296117379364623
BEDMUTHA.NS,Basic Materials,7402306560.0,27.18365,0.0018497463844304,0.0297656756321902
BEL.NS,Industrials,2176486998016.0,47.869778,0.0024424697855444,0.0291504737971192
BEML.NS,Industrials,174559166464.0,60.978325,0.002537050012135,0.0397588092077609
BEPL.NS,Basic Materials,32600522752.0,18.030346,0.0031052721650145,0.0340950538487141
BERGEPAINT.NS,Basic Materials,587854643200.0,51.29705,0.0002136363298454,0.0153490621262647
BFINVEST.NS,Financial Services,28365586432.0,5.385083,0.0027782480343235,0.0292034693970216
BFUTILITIE.NS,Utilities,36030943232.0,26.106714,0.0016060883989244,0.0363654958009642
BHAGERIA.NS,Basic Materials,9745740800.0,35.110935,0.0027855177404771,0.0308722961202111
BHAGYANGR.NS,Basic Materials,3322040832.0,35.19661,-5.178318307082788e-05,0.0277088229260644
BHANDARI.NS,Consumer Cyclical,1598733184.0,17.051283,-0.0011015760652556,0.0313078105078046
BHARATFORG.NS,Consumer Cyclical,661159673856.0,70.93157,0.0003327439628433,0.0209211643086749
BHARATRAS.NS,Basic Materials,49210580992.0,37.313606,0.0025142451579107,0.0396389914484366
BHARATWIRE.NS,Basic Materials,15907521536.0,18.616678,-0.0004883532911212,0.0326734110237094
BHARTIARTL.NS,Communication Services,9391409463296.0,75.76738,0.0017091510787247,0.0148428504582664
BHEL.NS,Industrials,832387481600.0,185.30232,-0.0008836333058712,0.03185724873095
BIGBLOC.NS,Industrials,17477556224.0,59.927185,0.0004785531495786,0.0315667902708463
BIOCON.NS,Healthcare,384804945920.0,26.730448,0.000602560524883,0.0217449646941293
BIOFILCHEM.NS,Healthcare,1061539456.0,166.0513,0.0003445595345716,0.0364624146156467
BIRLACABLE.NS,Technology,6638989824.0,90.102036,-0.0007724617841327,0.0267127858630955
BIRLACORPN.NS,Basic Materials,87909277696.0,28.329193,-0.0020850643136618,0.0198368362423414
BIRLAMONEY.NS,Financial Services,9337580544.0,12.518183,0.0024524513171966,0.0320311977689847
BLBLIMITED.NS,Financial Services,1090082560.0,12.129412,0.0006372544331118,0.0260615915669133
BLISSGVS.NS,Healthcare,13084826624.0,20.848993,0.0013050451396876,0.0297601393403988
BLKASHYAP.NS,Industrials,17564018688.0,27.824371,0.0020233037834591,0.0313560919111849
BLS.NS,Industrials,169964208128.0,47.592163,0.0022980507149775,0.0270622706701668
BLUEDART.NS,Industrials,187632156672.0,64.10467,0.0009537957144241,0.0229232741563792
BLUESTARCO.NS,Industrials,367547121664.0,69.44639,0.002116582004948,0.0267520065132598
BODALCHEM.NS,Basic Materials,9698948096.0,320.87503,0.0005284544113169,0.0243564209231793
BOMDYEING.NS,Consumer Cyclical,46604673024.0,1.5108491,0.0027487601263452,0.0315915060927073
BOROLTD.NS,Consumer Cyclical,56115605504.0,76.30894,0.0026988888417909,0.0284298929740257
BOSCHLTD.NS,Consumer Cyclical,1035797463040.0,40.650276,0.0014042512393036,0.0166336362891662
BPCL.NS,Energy,1346890366976.0,10.102507,0.0005197116894463,0.0228031572737318
BPL.NS,Technology,5546500096.0,22.760565,0.0012775900435757,0.0299982537194812
BRIGADE.NS,Real Estate,274556616704.0,52.361435,0.0005411530177021,0.0290655140416409
BRITANNIA.NS,Consumer Defensive,1384666628096.0,63.2946,0.0009122359265154,0.0114693293729152
BSE.NS,Financial Services,635849801728.0,107.53493,0.0047808224797759,0.0387297233873579
BSHSL.NS,Basic Materials,16878066688.0,74.11981,-0.0018740259630951,0.0234181085452437
BSL.NS,Consumer Cyclical,2429988608.0,21.601097,0.002644640519394,0.0300617880678199
BSOFT.NS,Technology,156898721792.0,25.774647,-0.0002955467837079,0.0235442257653314
BVCL.NS,Basic Materials,1192429568.0,16.659443,0.0001265727657874,0.0323298488023853
BYKE.NS,Consumer Cyclical,4053736960.0,51.693333,0.0005691388719239,0.0299462726532965
CALSOFT.NS,Technology,298167488.0,48.225002,0.0021908680740246,0.0317015674019965
CAMS.NS,Technology,230341361664.0,54.64574,0.003593837495822,0.0277004461266833
CANBK.NS,Financial Services,940626935808.0,5.878118,-5.987875839341508e-05,0.0244820181305357
CANFINHOME.NS,Financial Services,113153974272.0,13.792208,0.0013264653968879,0.0213594049062698
CANTABIL.NS,Consumer Cyclical,18555090944.0,29.778524,0.0012366957201839,0.027581033027086
CAPACITE.NS,Industrials,30910095360.0,18.617346,0.0022231684742451,0.0295062496299446
CAPLIPOINT.NS,Healthcare,152920326144.0,31.15206,0.003952772406019,0.0314273731981394
CAPTRUST.NS,Financial Services,1905556224.0,79.93197,0.0003114656426332,0.0354745816336404
CARBORUNIV.NS,Industrials,271414362112.0,57.1503,-0.0001598666907426,0.0210856509369468
CAREERP.NS,Industrials,9314794496.0,15.244524,0.0026633256976298,0.0264576463194074
CARERATING.NS,Financial Services,44462272512.0,38.906044,0.0025212691865327,0.0260659511393679
